iter	MAE	RMSE
643	0.2023046445	0.2690989584
644	0.2020926169	0.2688628621
645	0.2018188995	0.2684348497
646	0.201581569	0.2680410549
647	0.2012903582	0.2675801451
648	0.2010586764	0.2672374349
649	0.2008607029	0.2669733825
650	0.2005758282	0.2665918517
651	0.2003733241	0.2663451647
652	0.2002080459	0.2660563536
653	0.2000107181	0.2657328082
654	0.1998052883	0.2653880764
655	0.1996182876	0.2650698566
656	0.1994648512	0.2648422843
657	0.1993386866	0.2646116452
658	0.1991087851	0.2642639132
659	0.1988055552	0.2638914889
660	0.1986110655	0.2635983542
661	0.1983946943	0.2632841656
662	0.1981750378	0.2631029366
663	0.1979460245	0.2627171685
664	0.1977184013	0.2624877907
665	0.1974705066	0.2621877649
666	0.1972686386	0.2618528322
667	0.1970961209	0.2615838851
668	0.1968622154	0.2612218802
669	0.1967299627	0.2609545
670	0.1965706896	0.2607051879
671	0.19641055	0.2604283486
672	0.1962602014	0.260179732
673	0.1960539048	0.2599402186
674	0.1958677466	0.259637028
675	0.1957052972	0.2594119832
676	0.1955051302	0.259168754
677	0.1952433073	0.2587319915
678	0.1950148747	0.2584089868
679	0.1948481462	0.2581350736
680	0.1945731273	0.2577905575
681	0.1943650572	0.2574504224
682	0.1940927219	0.2571057617
683	0.1938904264	0.2568074553
684	0.1937353148	0.2565469977
685	0.1935557135	0.2563105748
686	0.1933328935	0.2559703744
687	0.1931602583	0.2557054878
688	0.1930382578	0.2554617594
689	0.1928260197	0.2551188029
690	0.1926708298	0.2548436817
691	0.1923694153	0.2543633284
692	0.1922516258	0.2541762204
693	0.1921227806	0.2539472992
694	0.1919852075	0.2537105514
695	0.1918135159	0.2535356436
696	0.1916713175	0.2533100585
697	0.1914914893	0.2531443795
698	0.1913299538	0.2528896245
699	0.191119888	0.2526528824
700	0.1909555399	0.2524261415
701	0.1907503352	0.2521279297
702	0.1905621894	0.2518460464
703	0.1903688127	0.2516558079
704	0.1901282585	0.251330471
705	0.1899289025	0.2510944347
706	0.1896860116	0.2507583419
707	0.1894799765	0.2504620942
708	0.1893291114	0.2502246296
709	0.1891155144	0.2498973968
710	0.1889170164	0.2495759216
711	0.1888359688	0.2494018822
712	0.1885850368	0.2490168405
713	0.1884272132	0.2487894559
714	0.1882003284	0.2484548322
715	0.1880582702	0.2482286477
716	0.1878970261	0.2479960362
717	0.1877486348	0.2477476819
718	0.1876112054	0.2475346014
719	0.1874442936	0.2472659951
720	0.1872248923	0.2469121886
721	0.187029129	0.2466327746
722	0.1868530595	0.2464597435
723	0.1865504233	0.2460035143
724	0.1864313363	0.2457949265
725	0.1861896509	0.2454887509
726	0.1860363329	0.2453390099
727	0.1858676338	0.2450874258
728	0.1857189303	0.2448671283
729	0.1855249529	0.2446699403
730	0.1853071346	0.2443987033
731	0.1851142126	0.2441173395
732	0.1849193751	0.2438125431
733	0.1847881697	0.2435844642
734	0.1846078937	0.2433799469
735	0.1844557352	0.2432399674
736	0.1842650805	0.2429821995
737	0.1840805474	0.2427198334
738	0.1839577579	0.2425141616
739	0.1837057374	0.2421728926
740	0.1835742571	0.2419742022
741	0.1833376652	0.2416095202
742	0.1831407286	0.2413615432
743	0.1829515553	0.2411166953
744	0.1827935087	0.2408870678
745	0.182585822	0.2405395434
746	0.182345915	0.2401864247
747	0.1821652141	0.2398862112
748	0.1819930498	0.2396460933
749	0.1818606572	0.2394144646
750	0.1816426243	0.2390348337
751	0.1813529611	0.2386815351
752	0.1811750602	0.2384000115
753	0.1810309728	0.2381801735
754	0.1808594815	0.238051525
755	0.1806758453	0.2377936679
756	0.1804125648	0.2374093927
757	0.18023763	0.2371781586
758	0.1800806938	0.2369283326
759	0.1799674521	0.2367251202
760	0.1797901351	0.2364690086
761	0.1796435478	0.2362401737
762	0.1794756303	0.2359739247
763	0.1793107843	0.2356760313
764	0.1791107888	0.2354114634
765	0.1789728318	0.2352443763
766	0.1787722193	0.2350400981
767	0.1786280315	0.234830513
768	0.1784518016	0.2346000447
769	0.178272611	0.2343402741
770	0.1781583487	0.2341556307
771	0.177985597	0.2339170614
772	0.1778139039	0.2336684372
773	0.1776528366	0.2335195557
774	0.1774949125	0.2333181788
775	0.1772681746	0.2329981588
776	0.1770686559	0.2327532233
777	0.176940966	0.2326279573
778	0.1767255098	0.2323009045
779	0.1765797109	0.2320792314
780	0.1764526196	0.2318942164
781	0.1763541502	0.2317406357
782	0.1761988823	0.2315552693
783	0.1760071919	0.2312509952
784	0.1758080702	0.2310218159
785	0.1755892652	0.2307588969
786	0.1753585229	0.2304190967
787	0.1751003942	0.2300920974
788	0.1749002786	0.2297496385
789	0.1747169135	0.2294790777
790	0.1745760739	0.2292826621
791	0.1744562384	0.2290958696
792	0.1742737827	0.2288271926
793	0.1741199891	0.2285962963
794	0.1740237616	0.228449084
795	0.1738527816	0.2281827016
796	0.1736912106	0.2279337635
797	0.1735492398	0.2278176016
798	0.1733511338	0.2275739395
799	0.173213005	0.2273563924
800	0.1730897668	0.2271656634
801	0.172911077	0.2268810299
802	0.1727471849	0.2266750307
803	0.1725269788	0.2264162272
804	0.1723314347	0.226148447
805	0.1722056705	0.2259509274
806	0.172088869	0.2257869672
807	0.1719060575	0.2255384838
808	0.1717692652	0.2253086339
809	0.1715571862	0.2250474402
810	0.1714230479	0.2249052616
811	0.171316892	0.2247519518
812	0.1711726539	0.2245148153
813	0.1710863529	0.2243765803
814	0.1709338082	0.2241940103
815	0.1707746273	0.2239197316
816	0.1706512654	0.2237358923
817	0.1705182482	0.2235024742
818	0.1703625151	0.2233377685
819	0.1702110095	0.2231884909
820	0.1700460101	0.2230085994
821	0.1698666273	0.2227014822
822	0.1696532862	0.2224493612
823	0.1695065476	0.2222309361
824	0.1693151161	0.221943661
825	0.1691522001	0.2217369623
826	0.1690585769	0.2215758329
827	0.1688426449	0.2213211679
828	0.1686298556	0.2210158136
829	0.1684920249	0.2207987724
830	0.168380014	0.2206660794
831	0.1681631146	0.2204032565
832	0.1680103283	0.2201877461
833	0.1678981625	0.2200209271
834	0.1677340241	0.2197845686
835	0.1675892733	0.2195353905
836	0.1674035912	0.2193322132
837	0.167246066	0.2190990655
838	0.1670888874	0.2188859926
839	0.1669205066	0.2186727591
840	0.1668055041	0.2185721673
841	0.1666425925	0.2183344264
842	0.1664573655	0.2180987432
843	0.1663204809	0.2179532543
844	0.1661513484	0.2176988221
845	0.1658773271	0.2173526426
846	0.1657941678	0.2172181672
847	0.1656252586	0.2170123671
848	0.1654778382	0.2168257
849	0.1653158149	0.2166046498
850	0.1651560692	0.2164462162
851	0.1649976386	0.2162028908
